Title,ImdbId
Sleeping Beauty (2011),tt1588398
Showgirls (1995),tt0114436
Piranha 3D (2010),tt0464154
Caligula (1979),tt0080491
American Pie Presents: Band Camp (2005 Video),tt0436058
Salò, or the 120 Days of Sodom (1975),tt0073650
American Pie Presents: The Naked Mile (2006 Video),tt0808146
The Blue Lagoon (1980),tt0080453
American Pie Presents: Beta House (2007 Video),tt0974959
Cannibal Holocaust (1980),tt0078935
American Pie Presents: The Book of Love (2009 Video),tt1407050
Blue Is the Warmest Colour (2013),tt2278871
Saw IV (2007),tt0890870
A Clockwork Orange (1971),tt0066921
Hostel (2005),tt0450278
Eyes Wide Shut (1999),tt0120663
Riddick (2013),tt1411250
Shame (2011),tt1723811
Twin Peaks: Fire Walk with Me (1992),tt0105665
Lolita (1997),tt0119558
Strangerland (2015),tt2325977
Nymphomaniac: Vol. I (2013),tt1937390
Nymphomaniac: Vol. II (2013),tt2382009
I Spit on Your Grave (2010),tt1242432
Ex Machina (2014),tt0470752
I Spit on Your Grave (1978),tt0077713
The Girl Next Door (2007),tt0830558
I Spit on Your Grave 2 (2013),tt2537176
It Follows (2014),tt3235888
The Neon Demon (2016),tt1974419
The Dreamers (2003),tt0309987
The Girl with the Dragon Tattoo (2009),tt1132620
Love (II) (2015),tt3774694
Screamers (1995),tt0114367
Q (2011),tt1879030
Enemy (2013),tt2316411
A Serbian Film (2010),tt1273235
Sheena (1984),tt0088103
Machete (2010),tt0985694
Side Effects (I) (2013),tt2053463
Alexander (2004),tt0346491
The Shining (1980),tt0081505
Universal Soldier: Day of Reckoning (2012),tt1659343
X (2011),tt1661099
Errors of the Human Body (2012),tt1835955
Under the Skin (I) (2013),tt1441395
Ma Mère (2004),tt0381392
The Big Lebowski (1998),tt0118715
Sin City: A Dame to Kill For (2014),tt0458481
The Wolf of Wall Street (2013),tt0993846
Schindler's List (1993),tt0108052
V/H/S (2012),tt2105044
The Cook, the Thief, His Wife & Her Lover (1989),tt0097108
Troy (2004),tt0332452
The English Patient (1996),tt0116209
The ABCs of Death (2012),tt1935896
ABCs of Death 2 (2014),tt2926810
The Anomaly (2014),tt2962726
Rang Rasiya (2008),tt1239276
Hitman (I) (2007),tt0465494
The Canal (2014),tt2517658
Into the Wild (2007),tt0758758
Wild Card (2015),tt2231253
The Invitation (I) (2015),tt2400463
Road Games (2015),tt2929652
Nocturnal Animals (2016),tt4550098
Lake Eerie (2016),tt2948078
The VVitch: A New-England Folktale (2015),tt4263482
Bad Timing (1980),tt0080408
The Autopsy of Jane Doe (2016),tt3289956
Melancholia (2011),tt1527186
The Institute (2017),tt5788136
The Assignment (I) (2016),tt5034474
Sex Drive (2008),tt1135985
Tonight She Comes (2016),tt5161376
The Survivalist (2015),tt2580382
The Killing of a Sacred Deer (2017),tt5715874
Girl House (2014),tt2577172
The Shape of Water (2017),tt5580390
Ayla (2017),tt4044896
Dark Crimes (2016),tt1901024
Mad Max 2: The Road Warrior (1981),tt0082694
Swimming Pool (2003),tt0324133
Below Her Mouth (2016),tt5073620
Hereditary (2018),tt7784604
Spring (I) (2014),tt3395184
The Girl in the Spider's Web (2018),tt5177088
Carrie (1976),tt0074285
12 Years a Slave (2013),tt2024544
Splice (2009),tt1017460
Pretty Baby (1978),tt0078111
Lizzie (2018),tt5160938
Oblivion (I) (2013),tt1483013
The Resident (2011),tt1334102
Elizabeth Harvest (2018),tt6852872
Under the Silver Lake (2018),tt5691670
Suspiria (I) (2018),tt1034415
The Wicker Man (1973),tt0070917
Secretary (2002),tt0274812
John Wick: Chapter 2 (2017),tt4425200